admit,gpa,pres
0,3.31,1
1,3.74,1
0,3.38,2
1,3.94,2
0,3.46,3
0,3.69,3
1,2.86,4
0,2.52,2
1,3.58,1
0,3.49,2
0,3.82,3
0,3.13,2
0,3.5,2
1,3.56,2
0,2.73,2
0,3.3,2
0,4,1
0,3.24,4
0,3.77,3
0,4,3
0,3.62,3
0,3.51,3
0,2.81,3
0,3.48,3
1,3.43,2
0,3.53,4
1,3.37,2
0,2.62,2
1,3.23,3
0,3.33,3
0,3.01,3
0,3.78,3
0,3.88,4
0,4,2
1,3.84,2
0,2.79,4
0,3.6,2
0,3.61,3
0,2.88,2
0,3.07,2
0,3.35,2
1,2.94,2
0,3.54,3
0,3.76,3
0,3.59,4
1,3.47,2
0,3.59,2
0,3.07,3
1,3.23,4
0,3.63,3
0,3.77,4
0,3.31,3
1,3.2,2
1,4,1
0,3.92,4
1,3.89,1
1,3.8,3
0,3.54,1
1,3.63,1
0,3.16,3
0,3.5,2
0,3.34,4
0,3.02,2
0,2.87,2
0,3.38,3
1,3.56,2
1,2.91,3
0,2.9,1
1,3.64,1
0,2.98,1
1,3.59,2
0,3.28,3
0,3.99,3
1,3.02,1
0,3.47,3
0,2.9,2
1,3.5,3
0,3.58,2
0,3.02,4
0,3.43,2
1,3.42,2
0,3.29,4
0,3.28,3
0,3.38,2
0,2.67,3
1,3.53,1
0,3.05,2
1,3.49,2
0,4,2
0,2.86,4
0,3.45,3
0,2.76,2
1,3.81,1
1,2.96,3
0,3.22,2
0,3.04,1
0,3.91,3
0,3.34,2
0,3.17,2
0,3.64,3
0,3.73,3
0,3.31,4
0,3.21,4
1,4,2
1,3.55,4
1,3.52,4
0,3.35,3
1,3.3,2
1,3.95,3
0,3.51,2
0,3.81,2
0,3.11,2
0,3.15,2
1,3.19,3
1,3.95,3
1,3.9,3
0,3.34,3
0,3.24,4
1,3.64,3
1,3.46,2
0,2.81,3
1,3.95,2
0,3.33,3
1,3.67,2
0,3.32,1
0,3.12,2
1,2.98,2
0,3.77,3
1,3.58,1
1,3,4
1,3.14,2
0,3.94,2
0,3.27,3
0,3.45,4
0,3.1,4
1,3.39,2
0,3.31,4
1,3.22,1
1,3.7,4
0,3.15,4
0,2.26,4
1,3.45,2
0,2.78,2
0,3.7,2
0,3.97,1
0,2.55,1
0,3.25,3
0,3.16,1
0,3.07,2
0,3.5,2
0,3.4,3
0,3.3,2
1,3.6,3
1,3.15,2
1,3.98,2
0,2.83,3
0,3.46,4
1,3.17,1
0,3.51,2
0,3.13,2
0,2.98,3
0,4,3
0,3.67,2
0,3.77,3
1,3.65,4
0,3.46,4
1,2.84,2
1,3,2
1,3.63,4
1,3.71,4
0,3.28,1
0,3.14,3
0,3.58,2
0,3.01,4
0,2.69,2
0,2.7,3
0,3.9,1
0,3.31,2
1,3.48,2
0,3.34,2
0,2.93,4
0,4,3
0,3.59,3
0,2.96,1
0,3.43,3
1,3.64,3
1,3.71,1
0,3.15,3
0,3.09,4
0,3.2,1
1,3.47,3
0,3.23,4
1,2.65,3
0,3.95,4
0,3.06,2
0,3.35,3
0,3.03,3
0,3.35,2
0,3.8,2
0,3.36,2
0,2.85,2
1,4,2
0,3.43,3
1,3.12,3
0,3.52,2
1,3.78,2
1,2.81,1
0,3.27,2
0,3.31,1
1,3.69,3
0,3.94,3
1,4,1
1,3.49,1
0,3.14,2
0,3.44,2
1,3.36,1
0,2.78,3
0,2.93,3
0,3.63,3
0,4,1
0,3.89,2
1,3.77,2
1,3.76,3
1,2.42,1
1,3.37,1
0,3.78,2
0,3.49,4
0,3.63,2
1,4,2
0,3.12,3
0,2.7,2
0,3.65,2
1,3.49,2
0,3.51,2
0,4,1
1,2.62,2
0,3.02,1
1,3.86,2
0,3.36,2
0,3.17,2
0,3.51,2
1,3.05,2
1,3.88,2
1,3.38,3
1,3.75,2
1,3.99,3
0,4,2
0,3.04,3
0,2.63,2
0,3.65,2
0,3.89,3
